sample_id,seas,site,block,plot,year,month,date,species,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Gaphl,,,,5,4,,3,1,,1,,,,1,,2,,,,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Lasal,,,,,,,,,,,,,,,,,,,1,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Laser,,,,,,1,,,,1,,,,,,,,,,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Logal,,,,,,,,,,,,,,,,,,,1,
J1B_UP,SP,J,J1,J1B,2018,5,16-May-18,Trhir,,,,,,,,,,,,1,,,,,,,,
J1C_LW,SP,J,J1,J1C,2017,6,6-Jun-17,Acann,2,2,2,,3,1,1,2,3,3,,,1,,1,,,,,
J1C_LW,SP,J,J1,J1C,2017,6,6-Jun-17,Acgla,,,,2,,,1,,1,2,,,,,1,,,,,
J1C_LW,SP,J,J1,J1C,2018,5,16-May-18,Acbra,,,,,,,1,1,,,,,,,,,,,,
J1C_LW,SP,J,J1,J1C,2018,5,16-May-18,Acpar,1,1,2,,1,,,,,,,,,,1,3,,2,1,1
J1C_LW,SP,J,J1,J1C,2018,5,16-May-18,Adfas,,,,,1,,,3,1,,,,,,,,,,,
J1C_LW,SP,J,J1,J1C,2018,5,16-May-18,Logal,,,,,,,,,,,,,,,1,,,,,
J1C_MI,SP,J,J1,J1C,2017,6,6-Jun-17,Acann,,1,2,2,3,3,4,2,2,1,4,1,1,1,1,2,3,,1,1
J1C_MI,SP,J,J1,J1C,2017,6,6-Jun-17,Adfas,1,1,,,,,,,,,,2,,,,,,,,
J1C_MI,SP,J,J1,J1C,2018,5,16-May-18,Acbra,,,,,,,,,,,,,,,,1,,,,
J1C_MI,SP,J,J1,J1C,2018,5,16-May-18,Acpar,,,,,3,1,2,2,1,,2,2,,2,,1,1,,2,
J1C_UP,SP,J,J1,J1C,2017,6,6-Jun-17,Acann,,,,1,1,,,,,2,,,,,,,,,1,1
J1C_UP,SP,J,J1,J1C,2017,6,6-Jun-17,Adfas,,,,,,,,,,,,,,,1,,,,,
J1C_UP,SP,J,J1,J1C,2018,5,16-May-18,Acbra,1,,,,,1,,,,,,,,,,,,,,
J1C_UP,SP,J,J1,J1C,2018,5,16-May-18,Acpar,,1,3,3,2,2,,2,3,1,2,,3,2,3,3,2,1,2,
J1C_UP,SP,J,J1,J1C,2018,5,16-May-18,Adfas,,,,,,,,,,,,,,,,,2,,,2
J1C_UP,SP,J,J1,J1C,2018,5,16-May-18,Logal,,,,,,,1,,,,,,,,,,,,,
J1D_LW,SP,J,J1,J1D,2017,6,6-Jun-17,Acann,,,,,,,,1,1,2,,,2,1,1,,,1,1,2
J1D_LW,SP,J,J1,J1D,2017,6,6-Jun-17,Cecun,,,,,1,,,,,,,,,,,,,,,
J1D_LW,SP,J,J1,J1D,2017,6,6-Jun-17,Hygla,,,,,,1,,,,,,,,,,,,,,
J1D_LW,SP,J,J1,J1D,2017,6,6-Jun-17,Racal,,,,,,,1,,,,,,,,,,,,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Acbra,,,,,,,,,,,1,,,,,1,,,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Acpar,,1,1,1,,2,,1,5,3,2,3,1,,1,,,,2,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Aicar,,1,4,,1,4,4,5,2,3,,4,6,3,3,1,1,1,3,3
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Brdia,,,,1,1,,1,,,,2,1,,,,,,,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Brhor,,,,,,,,,1,,,,,,,,,,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Cemel,1,,,3,,,3,,,1,2,3,,,,,,,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Femyu,,,,,,,,,,,,,,,,,,1,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Gaphl,1,,,,,,,,,,,,,,,1,,,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Lofil,,1,,,,,,,,,1,1,,,,,,,,
J1D_LW,SP,J,J1,J1D,2018,5,16-May-18,Logal,4,3,5,2,5,1,2,,,,1,,2,2,2,3,2,2,,1
J1D_MI,SP,J,J1,J1D,2017,6,6-Jun-17,Acann,,1,1,2,1,1,2,,1,1,1,2,2,1,,,1,2,1,2
J1D_MI,SP,J,J1,J1D,2017,6,6-Jun-17,Adfas,,,,,,,,,,,,,,,,,,,1,1
J1D_MI,SP,J,J1,J1D,2017,6,6-Jun-17,Gapar,,,,,,,,1,,,,,,,,,,,,
J1D_MI,SP,J,J1,J1D,2017,6,6-Jun-17,Logal,,,,,,,,,,,,,,,3,,,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Acbra,1,,,,1,,,,,,,,,,,,,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Acpar,4,,3,1,3,,1,,2,2,,2,,,,,,1,2,2
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Adfas,,,,,,,,1,,,,,,,,1,,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Aicar,1,,,1,,1,2,1,1,3,1,,,,,,,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Brdia,,,,,,,,,,,1,,,,,,,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Femyu,,,,,,,,,,,,,1,,,,2,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Gaphl,1,,1,1,,1,1,1,,,,1,,,,2,,,,2
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Lasal,2,,,,,,,,,,,,,,,,,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Lofil,,1,,2,,,,2,2,,,,,,,,,,,
J1D_MI,SP,J,J1,J1D,2018,5,16-May-18,Logal,2,3,1,2,,1,,,2,,2,,2,,3,2,1,1,2,2
J1D_UP,SP,J,J1,J1D,2017,6,6-Jun-17,Acann,3,1,2,,,2,1,2,3,2,3,,1,3,3,3,2,3,2,
J1D_UP,SP,J,J1,J1D,2017,6,6-Jun-17,Gaphl,2,,,,,,,,1,,,,,,,,,,,
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Acpar,,,,2,2,1,4,2,2,2,3,,,,,,,2,,2
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Adfas,,,,,,,,,,,,,,,,,,1,2,
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Cemel,,,,,,,,,,,,,,,,,,,1,
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Erbot,,,1,,,,,,,,,,,,,,,,,
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Gaphl,,,1,,,2,,1,,,,3,3,,,2,2,,2,
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Lofil,2,2,,,,,,,1,2,,,,,,,,,,
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Logal,,2,,,3,3,2,,,2,,3,1,,1,,4,,2,3
J1D_UP,SP,J,J1,J1D,2018,5,16-May-18,Pedub,,,,,,,,,,,,,,,,1,,,,
J1E_LW,SP,J,J1,J1E,2017,6,6-Jun-17,Cemel,,,,,1,2,3,4,3,1,,2,,,,2,1,3,1,
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Acpar,,,,,,,,,,,,,,,,,,,1,
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Adfas,,,,,,4,2,3,2,7,,,,,1,1,,2,,2
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Avbar,,,,1,,,,,,,,,,,,,,1,1,1
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Brdia,,1,3,1,,1,2,1,,1,,,1,,,2,,,,
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Cemel,2,,1,,,,,,,,1,,,,,,1,,,1
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Gaphl,,,,,,,,,,,,,,2,,,1,,,
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Lasal,1,1,,,,,,,,,,,,,,,,,,
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Laser,,,,,,,,,,,,,,,,,,,1,
J1E_LW,SP,J,J1,J1E,2018,5,16-May-18,Logal,,1,,,,,,,,,,,,,,,,,,
J1E_MI,SP,J,J1,J1E,2017,6,6-Jun-17,Adfas,,,,,,,,,,,,,,,,,,,,1
J1E_MI,SP,J,J1,J1E,2017,6,6-Jun-17,Brmad,,,,,,2,,1,,1,,,,1,,,,,,
J1E_MI,SP,J,J1,J1E,2017,6,6-Jun-17,Cemel,,,3,2,1,,1,1,,,,1,,,2,3,1,1,,1
J1E_MI,SP,J,J1,J1E,2017,6,6-Jun-17,Erbot,,,,,,,,,1,,,,,,,,1,1,,
J1E_MI,SP,J,J1,J1E,2017,6,6-Jun-17,Gaphl,,,,,,,,,1,,,,,,,,,,,
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Avbar,,,,,,,3,,,,3,,,4,,1,3,,2,2
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Brdia,1,2,2,,,3,,,,,1,,1,3,2,3,,,1,2
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Brhor,,,,,,,,,,,1,,,,1,,,,,
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Brmad,3,1,1,,,,,,,,,3,1,2,,1,3,,,
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Cemel,,1,1,1,,2,2,,,2,2,1,1,,2,,,,1,1
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Erbot,,,,,,2,,1,2,,,,,,,,2,,3,
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Gaphl,,,,,,,,,,,2,2,3,,,,,,,1
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Hygla,,,,,2,,,,,,,,,,1,,,,,
J1E_MI,SP,J,J1,J1E,2018,5,16-May-18,Logal,,1,,1,,,,1,,4,,,1,,,,,,,1
J1E_UP,SP,J,J1,J1E,2017,6,6-Jun-17,Adfas,,,,,1,,,,,,,,,,,,,,,
J1E_UP,SP,J,J1,J1E,2017,6,6-Jun-17,Cemel,1,2,2,2,2,1,2,2,,,,,,2,1,2,,,1,1
J1E_UP,SP,J,J1,J1E,2017,6,6-Jun-17,Gacal,,,,,,,,,,1,,,,,,,,,,
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Acpar,,,,,,,,1,,,,,,,,,,,1,
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Adfas,,,,,,,,,1,,,,,1,,,,,,
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Avbar,1,1,2,,,,,,,,1,2,,,,1,1,,,1
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Brdia,,,,3,,4,4,5,6,5,,,,,1,,2,4,2,2
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Brhor,1,,1,1,1,1,,,1,1,1,,2,,4,7,3,2,5,3
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Brmad,,,,1,,1,,,,,,,,1,,,,,,
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Cemel,,,,,,,,,,1,,,,,,2,2,,,
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Erbot,,,1,,,,,,,,1,,,,,,,,,
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Femyu,,,,,,,,,,,,,1,1,1,,2,1,,1
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Gaphl,,,,,1,,1,,,,,,2,,,,,,,1
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Hygla,,,,,,1,,1,,,,,,,,,,,,
J1E_UP,SP,J,J1,J1E,2018,5,16-May-18,Logal,,,,,,,,,,,2,1,,2,1,1,,1,,
J2A_LW,SP,J,J2,J2A,2017,6,6-Jun-17,Acann,2,5,3,1,2,2,1,2,1,1,,1,2,,2,,,,,
J2A_LW,SP,J,J2,J2A,2017,6,6-Jun-17,Adfas,,,2,2,,,,,,,2,,,,1,6,6,4,2,1
J2A_LW,SP,J,J2,J2A,2017,6,6-Jun-17,Hesco,,,,,,,,,,,,,,,,1,,,,
J2A_LW,SP,J,J2,J2A,2017,6,6-Jun-17,Trhir,,,,,,,,,,1,,,,,,,,,,
J2A_MI,SP,J,J2,J2A,2017,6,6-Jun-17,Adfas,,1,,,1,,,,,,,,,,,,,,,
J2A_MI,SP,J,J2,J2A,2017,6,6-Jun-17,Hesco,1,,,,,,,,1,1,,,,,,,,,,
J2A_MI,SP,J,J2,J2A,2017,6,6-Jun-17,Lofil,5,,1,,,,,,,,,,,1,,,,,,
J2A_UP,SP,J,J2,J2A,2017,6,6-Jun-17,Acann,,,,,,,1,,,,3,1,,,2,,,1,,1
J2A_UP,SP,J,J2,J2A,2017,6,6-Jun-17,Acgla,,,,,,,,,,,,,,1,,,,,,
J2A_UP,SP,J,J2,J2A,2017,6,6-Jun-17,Adfas,,,,3,4,4,,,,,,,1,,,,1,,,
J2A_UP,SP,J,J2,J2A,2017,6,6-Jun-17,Hesco,,,,,,,,,,,,,,,,,,,3,
J2A_UP,SP,J,J2,J2A,2017,6,6-Jun-17,Lofil,,,,,,,,,,,,,,,,,,,1,
J2A_UP,SP,J,J2,J2A,2017,6,6-Jun-17,Logal,,,,,,,,,,,,,,,,3,,,,
J2A_UP,SP,J,J2,J2A,2017,6,6-Jun-17,Toarv,,,,,,,,1,,,,,,,,,,,,
J2B_LW,SP,J,J2,J2B,2017,6,6-Jun-17,Adfas,,,3,,,,,1,,,3,3,1,1,3,,,,,
J2B_LW,SP,J,J2,J2B,2017,6,6-Jun-17,Empen,,,,,2,2,2,4,7,,10,1,,1,,,1,1,1,
J2B_LW,SP,J,J2,J2B,2017,6,6-Jun-17,Logal,,,,,,,,,,,,,,,,,,,,1
J2B_LW,SP,J,J2,J2B,2018,5,15-May-18,Adfas,,3,6,5,1,,,,,,,,,,1,2,3,5,1,1
J2B_LW,SP,J,J2,J2B,2018,5,15-May-18,Hygla,,,,,1,,1,1,,,,,,,1,,,,,
J2B_LW,SP,J,J2,J2B,2018,5,15-May-18,Lofil,1,,,,,,,,,2,,,,,,,,,,
J2B_LW,SP,J,J2,J2B,2018,5,15-May-18,Logal,1,1,,,,1,1,,1,1,,,,,1,,,,,1
J2B_MI,SP,J,J2,J2B,2017,6,6-Jun-17,Adfas,4,3,2,1,,,2,,,1,3,2,1,1,2,2,,,4,1
J2B_MI,SP,J,J2,J2B,2017,6,6-Jun-17,Empen,,,,,6,2,,,,,,,,3,,2,1,4,,3
J2B_MI,SP,J,J2,J2B,2017,6,6-Jun-17,Gacal,,,,1,,1,,,,,,,,,,,2,3,,
J2B_MI,SP,J,J2,J2B,2017,6,6-Jun-17,Logal,,,,,,,,,,,,,,,,,2,,,
J2B_MI,SP,J,J2,J2B,2017,6,6-Jun-17,Toarv,,,,,,,,,1,,,,,,,,1,,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Adfas,1,1,1,,1,,,,,,,,,,,2,,,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Brdia,,,,,,,,,,1,,,1,,,,,,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Crmur,1,,,,,,,,,,,,,,,,,,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Gacal,2,,,,2,,,,,,,,,,,,,,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Hygla,,,1,,1,,1,,,2,1,,1,1,1,1,2,2,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Lofil,,,,,,,,,1,,,,,,,,,,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Logal,2,,,1,3,,,,2,,4,2,5,2,1,1,2,,1,1
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Lyarv,,,,,,,,,,,,,,,,1,,2,1,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Pscal,,,1,1,,,,,,4,,,,,,,,2,,
J2B_MI,SP,J,J2,J2B,2018,5,15-May-18,Soasp,1,,,,,,,,,,,,,,,,,,,
J2B_UP,SP,J,J2,J2B,2017,6,6-Jun-17,Adfas,,,,,,,,,1,1,1,1,2,,1,,,,,
J2B_UP,SP,J,J2,J2B,2017,6,6-Jun-17,Chpom,,,,,,,,,,,,1,,,,,,,,
J2B_UP,SP,J,J2,J2B,2017,6,6-Jun-17,Empen,,,1,,,,,,,,,,,2,,,,,,
J2B_UP,SP,J,J2,J2B,2017,6,6-Jun-17,Logal,,,,,,,,,,,1,,,,,,,,1,1
J2B_UP,SP,J,J2,J2B,2017,6,6-Jun-17,Pscal,,,,1,,,,,,,,,,,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Acpar,,,,,,,,,,,,,1,,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Adfas,1,,,,,1,4,,,,1,,,7,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Brdia,,,,,1,,,,,,,,,,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Brmad,,,,,,,,,,,,1,,,1,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Gacal,,,,,,,,5,,,,,,,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Gapar,,,,1,,,,,,,,,,,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Gaphl,,,,,,,,,,,,,,,,,2,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Hygla,,,,,,,,,,,,,,2,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Lofil,,,1,1,,,,3,1,,,,,,,,,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Logal,4,1,,,,,,1,1,3,1,3,1,3,2,,4,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Soasp,,,,,,,,,,,,,,,,,2,,,
J2B_UP,SP,J,J2,J2B,2018,5,15-May-18,Toarv,,,,,,,,,,,,1,,,,,,,,
J2C_LW,SP,J,J2,J2C,2017,6,6-Jun-17,Acann,,,,,,,,1,,,,1,1,,,2,3,1,1,
J2C_LW,SP,J,J2,J2C,2017,6,6-Jun-17,Adfas,,1,,,,,,,,,1,,,1,,,,,1,
J2C_LW,SP,J,J2,J2C,2017,6,6-Jun-17,Hygla,,,1,,2,1,,,,,,1,,,,,,,,1
J2C_LW,SP,J,J2,J2C,2017,6,6-Jun-17,Calas,5,1,,,,,,,,,,,,,,,,,,
J2C_LW,SP,J,J2,J2C,2017,6,6-Jun-17,Cecun,,,,,,,,,1,,,,,,,,,,,
J2C_LW,SP,J,J2,J2C,2017,6,6-Jun-17,Gaapa,,,,,,,,,,,1,,,1,,,,,,
J2C_LW,SP,J,J2,J2C,2017,6,6-Jun-17,Toarv,,,1,1,1,,,,,,,,,,1,,,,,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Acbra,,,,,,,1,,,,,,,,,,,,,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Acpar,6,4,3,1,5,5,2,,1,1,,,1,,,1,1,,1,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Adfas,,2,7,6,,2,4,2,,2,4,2,4,4,1,,1,1,4,3
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Avbar,,1,,,,1,,,,,1,,,,,,,,,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Cemel,,,3,1,,,,,,2,,,1,2,5,,2,,,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Gaphl,,,,,,,,1,1,,,,,,,,,,1,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Hygla,,,,,,,,,,,,,,1,1,,2,,,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Lofil,1,,,,,,,,,,,,,,,,,,,
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Logal,,3,1,,,,,1,2,2,,,,1,,,,,1,2
J2C_LW,SP,J,J2,J2C,2018,5,16-May-18,Toarv,,,,,,,,,,,1,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2017,6,6-Jun-17,Adfas,,2,,2,1,1,,,,2,3,6,3,5,2,3,,,,2
J2C_MI,SP,J,J2,J2C,2017,6,6-Jun-17,Cemel,1,,,,1,1,,,,,,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2017,6,6-Jun-17,Lofil,,,,,,,,,,,,,,,1,,,,,
